SessionID,CourseID,Type,Day,StartTime,EndTime,Room,InstructorID,InstructorName,Sections,StudentCount
S60,LRA401,Lab,Sunday,10:45 AM,12:15 PM,B10 F1.08,A40,Prof. Lina Morales,CSIT-1-s3,25
S69,CSC211,Lecture,Sunday,10:45 AM,12:15 PM,B17 F1.03,P06,Dr. Ahmed Arafa,"CSIT-2-s7, CSIT-2-s8, CSIT-2-s9",75
S106,ACM215,Lab,Sunday,10:45 AM,12:15 PM,B26 G.06,A44,Eng. Layla Zayd,CSIT-2-s1,25
S145,ECE324,Lab,Sunday,10:45 AM,12:15 PM,B10 F1.06,A02,ECE Department Staff,CSIT-3-CNC-s1,25
S181,CSC317,Lab,Sunday,10:45 AM,12:15 PM,B26 G.12,A21,Eng. Salma Waleed,CSIT-3-AID-s2,25
S195,CSC317,Lab,Sunday,10:45 AM,12:15 PM,B18 F1.14,A37,Eng. Nora Gamal,CSIT-3-CSC-s1,25
S218,AID428,Lab,Sunday,10:45 AM,12:15 PM,B07 F1.01,A06,Eng. Fatima Ali,CSIT-4-AID-s1,25
S228,CNC413,Lab,Sunday,10:45 AM,12:15 PM,B18 F1.08,A41,Eng. Omar Hassan,CSIT-4-CNC-s3,25
S247,CSC412,Lecture,Sunday,10:45 AM,12:15 PM,B07 G.01,P13,Dr. Asmaa,"CSIT-4-CSC-s1, CSIT-4-CSC-s2",40
S267,BIF425,Lecture,Sunday,10:45 AM,12:15 PM,B26 G.13,P09,Prof. Ahmed Othman,CSIT-4-BIF-s1,15
S2,CSC111,Lecture,Sunday,12:30 PM,2:00 PM,B07 G.01,P35,Dr. Reda Elbasiony ,"CSIT-1-s4, CSIT-1-s5, CSIT-1-s6",75
S5,CSC111,Lab,Sunday,12:30 PM,2:00 PM,B10 F1.10,A14,Eng. Nada Essam,CSIT-1-s2,25
S28,MTH111,Lab,Sunday,12:30 PM,2:00 PM,B17 F1.13,A01,BAS Department Staff,CSIT-1-s1,25
S57,LRA105,Lecture,Sunday,12:30 PM,2:00 PM,B17 F1.16,P33,Dr. Omar Sharif,"CSIT-1-s7, CSIT-1-s8, CSIT-1-s9",75
S71,CSC211,Lab,Sunday,12:30 PM,2:00 PM,B25 F1.11,A13,Eng. Nada Ahmed,CSIT-2-s2,25
S72,CSC211,Lab,Sunday,12:30 PM,2:00 PM,B25 F1.18,A36,Eng. Adam Mohamed,CSIT-2-s3,25
S116,LRA306,Lecture,Sunday,12:30 PM,2:00 PM,B8 Theater,P34,Prof. LBA,"CSIT-2-s4, CSIT-2-s5, CSIT-2-s6",75
S135,AID312,Lab,Sunday,12:30 PM,2:00 PM,B26 F1.03,A16,Eng. Nourhan Waleed,CSIT-3-CNC-s3,25
S136,AID312,Lab,Sunday,12:30 PM,2:00 PM,B26 G.10,A28,Eng. Omar Hassan,CSIT-3-CSC-s1,25
S162,CNC311,Lab,Sunday,12:30 PM,2:00 PM,B07 F1.01,A15,Eng. Nada Hamdy,CSIT-3-BIF-s1,15
S173,CNC314,Lab,Sunday,12:30 PM,2:00 PM,B09 F1.04,A33,Eng. Hana Tarek,CSIT-3-CSC-s2,15
S185,CNC312,Lab,Sunday,12:30 PM,2:00 PM,B26 G.14,A03,Eng. Alaa Essam,CSIT-3-CNC-s2,25
S235,CNC418,Lab,Sunday,12:30 PM,2:00 PM,B25 F1.10,A41,Eng. Omar Hassan,CSIT-4-CNC-s2,25
S248,CSC412,Lab,Sunday,12:30 PM,2:00 PM,B10 F1.08,A42,Eng. Fatima Ali,CSIT-4-CSC-s1,25
S11,CSC111,Lab,Sunday,2:15 PM,3:45 PM,B07 F1.22,A15,Eng. Nada Hamdy,CSIT-1-s8,25
S24,ECE111,Lab,Sunday,2:15 PM,3:45 PM,B26 G.04,A02,ECE Department Staff,CSIT-1-s9,25
S31,MTH111,Lab,Sunday,2:15 PM,3:45 PM,B26 F1.10,A01,BAS Department Staff,CSIT-1-s4,25
S45,PHY113,Lab,Sunday,2:15 PM,3:45 PM,B26 G.03,A06,Eng. Fatima Ali,CSIT-1-s6,25
S59,LRA401,Lab,Sunday,2:15 PM,3:45 PM,B25 F1.10,A40,Prof. Lina Morales,CSIT-1-s2,25
S70,CSC211,Lab,Sunday,2:15 PM,3:45 PM,B17 F1.09,A36,Eng. Adam Mohamed,CSIT-2-s1,25
S77,CSC211,Lab,Sunday,2:15 PM,3:45 PM,B17 G.19,A12,Eng. Menna Mahmoud,CSIT-2-s8,25
S83,CSE214,Lab,Sunday,2:15 PM,3:45 PM,B25 G.05,A17,Eng. Omnya Ramadan,CSIT-2-s2,25
S92,MTH212,Lecture,Sunday,2:15 PM,3:45 PM,B17 F1.15,P14,Dr. Ayman Arafa,"CSIT-2-s4, CSIT-2-s5, CSIT-2-s6",75
S132,AID312,Lab,Sunday,2:15 PM,3:45 PM,B10 F1.07,A28,Eng. Omar Hassan,CSIT-3-AID-s3,25
S133,AID312,Lab,Sunday,2:15 PM,3:45 PM,B18 G.20,A21,Eng. Salma Waleed,CSIT-3-CNC-s1,25
S137,AID312,Lab,Sunday,2:15 PM,3:45 PM,B07 F1.23,A16,Eng. Nourhan Waleed,CSIT-3-CSC-s2,15
S160,CNC311,Lab,Sunday,2:15 PM,3:45 PM,B09 F1.22,A07,Eng. Fatma Elsayed,CSIT-3-CSC-s1,25
S199,CSC315,Lecture,Sunday,2:15 PM,3:45 PM,B09 F1.04,P30,Prof. Mostafa Soliman,CSIT-3-BIF-s1,15
S202,AID411,Lab,Sunday,2:15 PM,3:45 PM,B18 G.11,A29,Eng. Fatima Ali,CSIT-4-AID-s1,25
S224,CNC411,Lab,Sunday,2:15 PM,3:45 PM,B18 G.07,A10,Eng. Mariam Ismael,CSIT-4-CNC-s3,25
S239,CNC419,Lab,Sunday,2:15 PM,3:45 PM,B25 F1.14,A41,Eng. Omar Hassan,CSIT-4-CNC-s2,25
S252,CSC414,Lab,Sunday,2:15 PM,3:45 PM,B18 F1.14,A42,Eng. Fatima Ali,CSIT-4-CSC-s2,15
S22,ECE111,Lab,Sunday,9:00 AM,10:30 AM,B18 G.16,A02,ECE Department Staff,CSIT-1-s7,25
S43,PHY113,Lab,Sunday,9:00 AM,10:30 AM,B25 F1.10,A06,Eng. Fatima Ali,CSIT-1-s4,25
S52,LRA104,Lecture,Sunday,9:00 AM,10:30 AM,B7 Theater,P03,Dr. Aisha Khan,"CSIT-1-s1, CSIT-1-s2, CSIT-1-s3",75
S66,LRA401,Lab,Sunday,9:00 AM,10:30 AM,B18 F1.13,A40,Prof. Lina Morales,CSIT-1-s9,25
S68,CSC211,Lecture,Sunday,9:00 AM,10:30 AM,B26 G.21,P06,Dr. Ahmed Arafa,"CSIT-2-s4, CSIT-2-s5, CSIT-2-s6",75
